name,sex,transcript
Alvin,male,"('A', 'l', 'v', 'i', 'n')"
Amadé,male,"('A', 'm', 'A', 'd', 'e:')"
Amadeusz,male,"('A', 'm', 'A', 'd', 'E', 'u', 's', 'S')"
Amadó,male,"('A', 'm', 'A', 'd', 'o:')"
Amand,male,"('A', 'm', 'A', 'n', 'd')"
Amar,male,"('A', 'm', 'A', 'R2')"
Amator,male,"('A', 'm', 'A', 't', 'o', 'R2')"
Ambos,male,"('A', 'm', 'b', 'o', 'S')"
Ambró,male,"('A', 'm', 'b', 'R2', 'o:')"
Ambrus,male,"('A', 'm', 'b', 'R2', 'u', 'S')"
Ámer,male,"('a:', 'm', 'E', 'R2')"
Amin,male,"('A', 'm', 'i', 'n')"
Amir,male,"('A', 'm', 'i', 'R2')"
Ammar,male,"('A', 'm', 'm', 'A', 'R2')"
Ammon,male,"('A', 'm', 'm', 'o', 'n')"
Ámon,male,"('a:', 'm', 'o', 'n')"
Amondó,male,"('A', 'm', 'o', 'n', 'd', 'o:')"
Ámor,male,"('a:', 'm', 'o', 'R2')"
Ámos,male,"('a:', 'm', 'o', 'S')"
Anakin,male,"('A', 'n', 'A', 'k', 'i', 'n')"
Anasztáz,male,"('A', 'n', 'A', 's', 'S', 't', 'a:', 'z')"
Anatol,male,"('A', 'n', 'A', 't', 'o', 'l')"
Andon,male,"('A', 'n', 'd', 'o', 'n')"
Andor,male,"('A', 'n', 'd', 'o', 'R2')"
Andorás,male,"('A', 'n', 'd', 'o', 'R2', 'a:', 'S')"
Andos,male,"('A', 'n', 'd', 'o', 'S')"
András,male,"('A', 'n', 'd', 'R2', 'a:', 'S')"
André,male,"('A', 'n', 'd', 'R2', 'e:')"
Andrej,male,"('A', 'n', 'd', 'R2', 'E', 'j')"
Andzseló,male,"('A', 'n', 'dZ', 'dzs', 'dz:', 'dz:', 'd', 'E', 'l', 'o:')"
Angelus,male,"('A', 'n', '(g', 'g', 'E', 'l', 'u', 'S')"
Angelusz,male,"('A', 'n', '(g', 'g', 'E', 'l', 'u', 's', 'S')"
