name,sex,transcript
Kocsárd,male,"('k', 'o', 'tS', 'ts', 'a:', 'R2', 'd')"
Kofi,male,"('k', 'o', 'f', 'i', 'i', 'k', 'o', 'f')"
Kolen,male,"('k', 'o', 'l', 'E', 'n')"
Kolin,male,"('k', 'o', 'l', 'i', 'n')"
Kolja,male,"('k', 'o', 'l', 'l^j', 'lj', 'A')"
Kolos,male,"('k', 'o', 'l', 'o', 'S')"
Kolozs,male,"('k', 'o', 'l', 'o', 'z', 'Z')"
Kolta,male,"('k', 'o', 'l', 't', 'A')"
Kolton,male,"('k', 'o', 'l', 't', 'o', 'n')"
Kolumbán,male,"('k', 'o', 'l', 'u', 'm', 'b', 'a:', 'n')"
Kolumbusz,male,"('k', 'o', 'l', 'u', 'm', 'b', 'u', 's', 'S')"
Kond,male,"('k', 'o', 'n', 'd')"
Konor,male,"('k', 'o', 'n', 'o', 'R2')"
Konrád,male,"('k', 'o', 'n', 'R2', 'a:', 'd')"
Konstantin,male,"('k', 'o', 'n', 'S', 't', 'A', 'n', 't', 'i', 'n')"
Kont,male,"('k', 'o', 'n', 't')"
Koppány,male,"('k', 'o', 'p', 'p:', 'a:', 'n', 'n^')"
Korbin,male,"('k', 'o', 'R2', 'b', 'i', 'n')"
Korbinián,male,"('k', 'o', 'R2', 'b', 'i', 'n', 'i', 'a:', 'n')"
Koridon,male,"('k', 'o', 'R2', 'i', 'd', 'o', 'n')"
Koriolán,male,"('k', 'o', 'R2', 'i', 'o', 'l', 'a:', 'n')"
Kornél,male,"('k', 'o', 'R2', 'n', 'e:', 'l')"
Kornéliusz,male,"('k', 'o', 'R2', 'n', 'e:', 'l', 'i', 'u', 's', 'S')"
Koron,male,"('k', 'o', 'R2', 'o', 'n')"
Korvin,male,"('k', 'o', 'R2', 'v', 'i', 'n')"
Kos,male,"('k', 'o', 'S')"
Kósa,male,"('k', 'o:', 'S', 'A')"
Kovrat,male,"('k', 'o', 'v', 'R2', 'A', 't')"
Kozma,male,"('k', 'o', 'z', 'm', 'A')"
Kötöny,male,"('k', 'Y', 't', 'Y', 'n', 'n^')"
Kövecs,male,"('k', 'Y', 'v', 'E', 'tS', 'ts')"
Kratosz,male,"('k', 'R2', 'A', 't', 'o', 's', 'S')"
Kresimir,male,"('k', 'R2', 'E', 'S', 'i', 'm', 'i', 'R2')"
Krisna,male,"('k', 'R2', 'i', 'S', 'n', 'A')"
Kristóf,male,"('k', 'R2', 'i', 'S', 't', 'o:', 'f')"
Krisztián,male,"('k', 'R2', 'i', 's', 'S', 't', 'i', 'a:', 'n')"
Krisztofer,male,"('k', 'R2', 'i', 's', 'S', 't', 'o', 'f', 'E', 'R2')"
Krizantusz,male,"('k', 'R2', 'i', 'z', 'A', 'n', 't', 'u', 's', 'S')"
Krizosztom,male,"('k', 'R2', 'i', 'z', 'o', 's', 'S', 't', 'o', 'm')"
Krizsán,male,"('k', 'R2', 'i', 'z', 'Z', 'a:', 'n')"
Kund,male,"('k', 'u', 'n', 'd')"
Kunó,male,"('k', 'u', 'n', 'o:')"
Kurd,male,"('k', 'u', 'R2', 'd')"
Kurszán,male,"('k', 'u', 'R2', 's', 'S', 'a:', 'n')"
Kurt,male,"('k', 'u', 'R2', 't')"
Kusán,male,"('k', 'u', 'S', 'a:', 'n')"
Kusid,male,"('k', 'u', 'S', 'i', 'd')"
Kustyán,male,"('k', 'u', 'S', 't', 'c', 'a:', 'n')"
Kücsid,male,"('k', 'y', 'tS', 'ts', 'i', 'd')"
Kürt,male,"('k', 'y', 'R2', 't')"
Kventin,male,"('k', 'v', 'E', 'n', 't', 'i', 'n')"
Laborc,male,"('l', 'A', 'b', 'o', 'R2', 'ts')"
Lád,male,"('l', 'a:', 'd')"
Ladomér,male,"('l', 'A', 'd', 'o', 'm', 'e:', 'R2')"
Lajos,male,"('l', 'A', 'j', 'o', 'S')"
Lamar,male,"('l', 'A', 'm', 'A', 'R2')"
Lambert,male,"('l', 'A', 'm', 'b', 'E', 'R2', 't')"
Lámek,male,"('l', 'a:', 'm', 'E', 'k')"
Lándor,male,"('l', 'a:', 'n', 'd', 'o', 'R2')"
Lantos,male,"('l', 'A', 'n', 't', 'o', 'S')"
Largó,male,"('l', 'A', 'R2', 'g', 'o:')"
Larion,male,"('l', 'A', 'R2', 'i', 'o', 'n')"
László,male,"('l', 'a:', 's', 'S', 'l', 'o:')"
Latif,male,"('l', 'A', 't', 'i', 'f')"
Laurent,male,"('l', 'A', 'u', 'R2', 'E', 'n', 't')"
Lázár,male,"('l', 'a:', 'z', 'a:', 'R2')"
Lázó,male,"('l', 'a:', 'z', 'o:')"
Leander,male,"('l', 'E', 'A', 'n', 'd', 'E', 'R2')"
Leandró,male,"('l', 'E', 'A', 'n', 'd', 'R2', 'o:')"
Leándrosz,male,"('l', 'E', 'a:', 'n', 'd', 'R2', 'o', 's', 'S')"
Legolász,male,"('l', 'E', 'g', 'o', 'l', 'a:', 's', 'S')"
Lehel,male,"('l', 'E', 'h', 'E', 'l')"
Lél,male,"('l', 'e:', 'l')"
Lemmi,male,"('l', 'E', 'm', 'm', 'i', 'i', 'l', 'E', 'm', 'm')"
Lénárd,male,"('l', 'e:', 'n', 'a:', 'R2', 'd')"
Lénárt,male,"('l', 'e:', 'n', 'a:', 'R2', 't')"
Lennon,male,"('l', 'E', 'n', 'n', 'o', 'n')"
Lennox,male,"('l', 'E', 'n', 'n', 'o', 'ks')"
Lenox,male,"('l', 'E', 'n', 'o', 'ks')"
Leó,male,"('l', 'E', 'o:')"
Leon,male,"('l', 'E', 'o', 'n')"
Leonárd,male,"('l', 'E', 'o', 'n', 'a:', 'R2', 'd')"
Leonárdó,male,"('l', 'E', 'o', 'n', 'a:', 'R2', 'd', 'o:')"
Leonel,male,"('l', 'E', 'o', 'n', 'E', 'l')"
Leonid,male,"('l', 'E', 'o', 'n', 'i', 'd')"
Leonidász,male,"('l', 'E', 'o', 'n', 'i', 'd', 'a:', 's', 'S')"
Leontin,male,"('l', 'E', 'o', 'n', 't', 'i', 'n')"
Leopold,male,"('l', 'E', 'o', 'p', 'o', 'l', 'd')"
Lestár,male,"('l', 'E', 'S', 't', 'a:', 'R2')"
Levéd,male,"('l', 'E', 'v', 'e:', 'd')"
Levedi,male,"('l', 'E', 'v', 'E', 'd', 'i', 'i', 'l', 'E', 'v', 'E', 'd')"
Levent,male,"('l', 'E', 'v', 'E', 'n', 't')"
Levente,male,"('l', 'E', 'v', 'E', 'n', 't', 'E')"
Lévi,male,"('l', 'e:', 'v', 'i', 'i', 'l', 'e:', 'v')"
Levin,male,"('l', 'E', 'v', 'i', 'n')"
Lex,male,"('l', 'E', 'ks')"
Liam,male,"('l', 'i', 'A', 'm')"
Liberátusz,male,"('l', 'i', 'b', 'E', 'R2', 'a:', 't', 'u', 's', 'S')"
Libériusz,male,"('l', 'i', 'b', 'e:', 'R2', 'i', 'u', 's', 'S')"
Libor,male,"('l', 'i', 'b', 'o', 'R2')"
Liboriusz,male,"('l', 'i', 'b', 'o', 'R2', 'i', 'u', 's', 'S')"
Libóriusz,male,"('l', 'i', 'b', 'o:', 'R2', 'i', 'u', 's', 'S')"
Liem,male,"('l', 'i', 'E', 'm')"
Linasz,male,"('l', 'i', 'n', 'A', 's', 'S')"
Lionel,male,"('l', 'i', 'o', 'n', 'E', 'l')"
Lior,male,"('l', 'i', 'o', 'R2')"
Lipót,male,"('l', 'i', 'p', 'o:', 't')"
Lívió,male,"('l', 'i:', 'v', 'i', 'o:')"
Liviusz,male,"('l', 'i', 'v', 'i', 'u', 's', 'S')"
Líviusz,male,"('l', 'i:', 'v', 'i', 'u', 's', 'S')"
Lizander,male,"('l', 'i', 'z', 'A', 'n', 'd', 'E', 'R2')"
Lóci,male,"('l', 'o:', 'ts', 'i', 'i', 'l', 'o:', 'ts')"
Loik,male,"('l', 'o', 'i', 'k')"
Loránd,male,"('l', 'o', 'R2', 'a:', 'n', 'd')"
Lóránd,male,"('l', 'o:', 'R2', 'a:', 'n', 'd')"
Loránt,male,"('l', 'o', 'R2', 'a:', 'n', 't')"
Lóránt,male,"('l', 'o:', 'R2', 'a:', 'n', 't')"
Lorenzó,male,"('l', 'o', 'R2', 'E', 'n', 'z', 'o:')"
Lotár,male,"('l', 'o', 't', 'a:', 'R2')"
Lőrinc,male,"('l', 'Y', 'R2', 'i', 'n', 'ts')"
Lucián,male,"('l', 'u', 'ts', 'i', 'a:', 'n')"
Lúciusz,male,"('l', 'u:', 'ts', 'i', 'u', 's', 'S')"
Ludvig,male,"('l', 'u', 'd', 'v', 'i', 'ig', 'l', 'u', 'd', 'v')"
Lukács,male,"('l', 'u', 'k', 'a:', 'tS', 'ts')"
Lukréciusz,male,"('l', 'u', 'k', 'R2', 'e:', 'ts', 'i', 'u', 's', 'S')"
Lüszien,male,"('l', 'y', 's', 'S', 'i', 'E', 'n')"
Madocsa,male,"('m', 'A', 'd', 'o', 'tS', 'ts', 'A')"
Máel,male,"('m', 'a:', 'E', 'l')"
Maglód,male,"('m', 'A', 'g', 'l', 'o:', 'd')"
Magnus,male,"('m', 'A', 'g', 'n', 'u', 'S')"
Magnusz,male,"('m', 'A', 'g', 'n', 'u', 's', 'S')"
Magor,male,"('m', 'A', 'g', 'o', 'R2')"
Mahmud,male,"('m', 'A', 'h', 'm', 'u', 'd')"
Majlát,male,"('m', 'A', 'j', 'l', 'a:', 't')"
Majs,male,"('m', 'A', 'j', 'S')"
Majsa,male,"('m', 'A', 'j', 'S', 'A')"
Makabeus,male,"('m', 'A', 'k', 'A', 'b', 'E', 'u', 'S')"
Makár,male,"('m', 'A', 'k', 'a:', 'R2')"
Malakiás,male,"('m', 'A', 'l', 'A', 'k', 'i', 'a:', 'S')"
Malik,male,"('m', 'A', 'l', 'i', 'k')"
Manaén,male,"('m', 'A', 'n', 'A', 'e:', 'n')"
Manassé,male,"('m', 'A', 'n', 'A', 'S', 'S', 'e:')"
Mandel,male,"('m', 'A', 'n', 'd', 'E', 'l')"
Manfréd,male,"('m', 'A', 'n', 'f', 'R2', 'e:', 'd')"
Manó,male,"('m', 'A', 'n', 'o:')"
Mánóah,male,"('m', 'a:', 'n', 'o:', 'A', 'h')"
Manóhar,male,"('m', 'A', 'n', 'o:', 'h', 'A', 'R2')"
Manszvét,male,"('m', 'A', 'n', 's', 'S', 'v', 'e:', 't')"
Manuel,male,"('m', 'A', 'n', 'u', 'E', 'l')"
Mánuel,male,"('m', 'a:', 'n', 'u', 'E', 'l')"
Manzur,male,"('m', 'A', 'n', 'z', 'u', 'R2')"
Marcel,male,"('m', 'A', 'R2', 'ts', 'E', 'l')"
Marcell,male,"('m', 'A', 'R2', 'ts', 'E', 'l', 'l')"
Marcián,male,"('m', 'A', 'R2', 'ts', 'i', 'a:', 'n')"
Március,male,"('m', 'a:', 'R2', 'ts', 'i', 'u', 'S')"
Marcselló,male,"('m', 'A', 'R2', 'tS', 'ts', 'E', 'l', 'l', 'o:')"
Marián,male,"('m', 'A', 'R2', 'i', 'a:', 'n')"
Marinusz,male,"('m', 'A', 'R2', 'i', 'n', 'u', 's', 'S')"
Márió,male,"('m', 'a:', 'R2', 'i', 'o:')"
Máriusz,male,"('m', 'a:', 'R2', 'i', 'u', 's', 'S')"
Márk,male,"('m', 'a:', 'R2', 'k')"
Markel,male,"('m', 'A', 'R2', 'k', 'E', 'l')"
Markó,male,"('m', 'A', 'R2', 'k', 'o:')"
Márkó,male,"('m', 'a:', 'R2', 'k', 'o:')"
Márkus,male,"('m', 'a:', 'R2', 'k', 'u', 'S')"
Márkusz,male,"('m', 'a:', 'R2', 'k', 'u', 's', 'S')"
Marlon,male,"('m', 'A', 'R2', 'l', 'o', 'n')"
Marót,male,"('m', 'A', 'R2', 'o:', 't')"
Marsal,male,"('m', 'A', 'R2', 'S', 'A', 'l')"
Martin,male,"('m', 'A', 'R2', 't', 'i', 'n')"
Marton,male,"('m', 'A', 'R2', 't', 'o', 'n')"
Márton,male,"('m', 'a:', 'R2', 't', 'o', 'n')"
Martos,male,"('m', 'A', 'R2', 't', 'o', 'S')"
Marvin,male,"('m', 'A', 'R2', 'v', 'i', 'n')"
Matán,male,"('m', 'A', 't', 'a:', 'n')"
Mátán,male,"('m', 'a:', 't', 'a:', 'n')"
Máté,male,"('m', 'a:', 't', 'e:')"
Mateó,male,"('m', 'A', 't', 'E', 'o:')"
Mateusz,male,"('m', 'A', 't', 'E', 'u', 's', 'S')"
Matin,male,"('m', 'A', 't', 'i', 'n')"
Mattenai,male,"('m', 'A', 't:', 't', 'E', 'n', 'A', 'i', 'i', 'm', 'A', 't:', 't', 'E', 'n', 'A')"
Matteó,male,"('m', 'A', 't:', 't', 'E', 'o:')"
Mátyás,male,"('m', 'a:', 't', 'c', 'a:', 'S')"
Mátyus,male,"('m', 'a:', 't', 'c', 'u', 'S')"
Mauríció,male,"('m', 'A', 'u', 'R2', 'i:', 'ts', 'i', 'o:')"
Mauró,male,"('m', 'A', 'u', 'R2', 'o:')"
Max,male,"('m', 'A', 'ks')"
Maxim,male,"('m', 'A', 'ks', 'i', 'm')"
Maximilián,male,"('m', 'A', 'ks', 'i', 'm', 'i', 'l', 'i', 'a:', 'n')"
Maximusz,male,"('m', 'A', 'ks', 'i', 'm', 'u', 's', 'S')"
Mazen,male,"('m', 'A', 'z', 'E', 'n')"
Medárd,male,"('m', 'E', 'd', 'a:', 'R2', 'd')"
Medox,male,"('m', 'E', 'd', 'o', 'ks')"
Megyer,male,"('m', 'E', 'J', 'g', 'E', 'R2')"
Mehdi,male,"('m', 'E', 'h', 'd', 'i', 'i', 'm', 'E', 'h', 'd')"
Melchior,male,"('m', 'E', 'l', 'ts', 'h', 'i', 'o', 'R2')"
Melhior,male,"('m', 'E', 'l', 'h', 'i', 'o', 'R2')"
Meliton,male,"('m', 'E', 'l', 'i', 't', 'o', 'n')"
Melkisédek,male,"('m', 'E', 'l', 'k', 'i', 'S', 'e:', 'd', 'E', 'k')"
Memnon,male,"('m', 'E', 'm', 'n', 'o', 'n')"
Ménás,male,"('m', 'e:', 'n', 'a:', 'S')"
Mendel,male,"('m', 'E', 'n', 'd', 'E', 'l')"
Menelik,male,"('m', 'E', 'n', 'E', 'l', 'i', 'k')"
Ménrót,male,"('m', 'e:', 'n', 'R2', 'o:', 't')"
Menyhért,male,"('m', 'E', 'n', 'n^', 'h', 'e:', 'R2', 't')"
Merdan,male,"('m', 'E', 'R2', 'd', 'A', 'n')"
Merlin,male,"('m', 'E', 'R2', 'l', 'i', 'n')"
Merse,male,"('m', 'E', 'R2', 'S', 'E')"
Méru,male,"('m', 'e:', 'R2', 'u')"
Metin,male,"('m', 'E', 't', 'i', 'n')"
Metód,male,"('m', 'E', 't', 'o:', 'd')"
Mevrik,male,"('m', 'E', 'v', 'R2', 'i', 'k')"
Mihály,male,"('m', 'i', 'h', 'a:', 'l', 'j')"
Mihir,male,"('m', 'i', 'h', 'i', 'R2')"
Mika,male,"('m', 'i', 'k', 'A')"
Mikáél,male,"('m', 'i', 'k', 'a:', 'e:', 'l')"
Mikán,male,"('m', 'i', 'k', 'a:', 'n')"
Mike,male,"('m', 'i', 'k', 'E')"
Mikeás,male,"('m', 'i', 'k', 'E', 'a:', 'S')"
Mikes,male,"('m', 'i', 'k', 'E', 'S')"
Mikió,male,"('m', 'i', 'k', 'i', 'o:')"
Miklós,male,"('m', 'i', 'k', 'l', 'o:', 'S')"
Mikó,male,"('m', 'i', 'k', 'o:')"
Miksa,male,"('m', 'i', 'k', 'S', 'A')"
Milad,male,"('m', 'i', 'l', 'A', 'd')"
Milád,male,"('m', 'i', 'l', 'a:', 'd')"
Milán,male,"('m', 'i', 'l', 'a:', 'n')"
Milen,male,"('m', 'i', 'l', 'E', 'n')"
Milián,male,"('m', 'i', 'l', 'i', 'a:', 'n')"
Milkó,male,"('m', 'i', 'l', 'k', 'o:')"
Miló,male,"('m', 'i', 'l', 'o:')"
Milorád,male,"('m', 'i', 'l', 'o', 'R2', 'a:', 'd')"
Milos,male,"('m', 'i', 'l', 'o', 'S')"
Milován,male,"('m', 'i', 'l', 'o', 'v', 'a:', 'n')"
Miltiádész,male,"('m', 'i', 'l', 't', 'i', 'a:', 'd', 'e:', 's', 'S')"
Milton,male,"('m', 'i', 'l', 't', 'o', 'n')"
Mirán,male,"('m', 'i', 'R2', 'a:', 'n')"
Mirkó,male,"('m', 'i', 'R2', 'k', 'o:')"
Miró,male,"('m', 'i', 'R2', 'o:')"
Miron,male,"('m', 'i', 'R2', 'o', 'n')"
Misa,male,"('m', 'i', 'S', 'A')"
Misel,male,"('m', 'i', 'S', 'E', 'l')"
Miska,male,"('m', 'i', 'S', 'k', 'A')"
Miske,male,"('m', 'i', 'S', 'k', 'E')"
Misó,male,"('m', 'i', 'S', 'o:')"
Mitkó,male,"('m', 'i', 't', 'k', 'o:')"
Mizse,male,"('m', 'i', 'z', 'Z', 'E')"
Modesztusz,male,"('m', 'o', 'd', 'E', 's', 'S', 't', 'u', 's', 'S')"
Mohamed,male,"('m', 'o', 'h', 'A', 'm', 'E', 'd')"
Móka,male,"('m', 'o:', 'k', 'A')"
Monor,male,"('m', 'o', 'n', 'o', 'R2')"
Monti,male,"('m', 'o', 'n', 't', 'i', 'i', 'm', 'o', 'n', 't')"
Mór,male,"('m', 'o:', 'R2')"
Mordeháj,male,"('m', 'o', 'R2', 'd', 'E', 'h', 'a:', 'j')"
Morgan,male,"('m', 'o', 'R2', 'g', 'A', 'n')"
Móric,male,"('m', 'o:', 'R2', 'i', 'ts')"
Mortimer,male,"('m', 'o', 'R2', 't', 'i', 'm', 'E', 'R2')"
Mózes,male,"('m', 'o:', 'z', 'E', 'S')"
Mózsi,male,"('m', 'o:', 'z', 'Z', 'i', 'i', 'm', 'o:', 'z', 'Z')"
Mukunda,male,"('m', 'u', 'k', 'u', 'n', 'd', 'A')"
Músza,male,"('m', 'u:', 's', 'S', 'A')"
Nabil,male,"('n', 'A', 'b', 'i', 'l')"
Nader,male,"('n', 'A', 'd', 'E', 'R2')"
Nadim,male,"('n', 'A', 'd', 'i', 'm')"
Náel,male,"('n', 'a:', 'E', 'l')"
Naftali,male,"('n', 'A', 'f', 't', 'A', 'l', 'i', 'i', 'n', 'A', 'f', 't', 'A', 'l')"
Nága,male,"('n', 'a:', 'g', 'A')"
Náhum,male,"('n', 'a:', 'h', 'u', 'm')"
Naim,male,"('n', 'A', 'i', 'm')"
Nalu,male,"('n', 'A', 'l', 'u')"
Nandó,male,"('n', 'A', 'n', 'd', 'o:')"
Nándor,male,"('n', 'a:', 'n', 'd', 'o', 'R2')"
Napóleon,male,"('n', 'A', 'p', 'o:', 'l', 'E', 'o', 'n')"
Nárájan,male,"('n', 'a:', 'R2', 'a:', 'j', 'A', 'n')"
Narcisszusz,male,"('n', 'A', 'R2', 'ts', 'i', 'ss2', '(L01', 'S', 'u', 's', 'S')"
Narek,male,"('n', 'A', 'R2', 'E', 'k')"
Naren,male,"('n', 'A', 'R2', 'E', 'n')"
Náron,male,"('n', 'a:', 'R2', 'o', 'n')"
Naróttama,male,"('n', 'A', 'R2', 'o:', 't:', 't', 'A', 'm', 'A')"
Narutó,male,"('n', 'A', 'R2', 'u', 't', 'o:')"
Naszim,male,"('n', 'A', 's', 'S', 'i', 'm')"
Naszír,male,"('n', 'A', 's', 'S', 'i:', 'R2')"
Nasszer,male,"('n', 'A', 'ss2', '(L01', 'S', 'E', 'R2')"
Nátán,male,"('n', 'a:', 't', 'a:', 'n')"
Nátánael,male,"('n', 'a:', 't', 'a:', 'n', 'A', 'E', 'l')"
Nataniel,male,"('n', 'A', 't', 'A', 'n', 'i', 'E', 'l')"
Nátániel,male,"('n', 'a:', 't', 'a:', 'n', 'i', 'E', 'l')"
Navid,male,"('n', 'A', 'v', 'i', 'd')"
Názár,male,"('n', 'a:', 'z', 'a:', 'R2')"
Nazim,male,"('n', 'A', 'z', 'i', 'm')"
Nazir,male,"('n', 'A', 'z', 'i', 'R2')"
Nelzon,male,"('n', 'E', 'l', 'z', 'o', 'n')"
Nemere,male,"('n', 'E', 'm', 'E', 're', 'R2', 'n', 'E', 'm', 'E')"
Némó,male,"('n', 'e:', 'm', 'o:')"
Nenád,male,"('n', 'E', 'n', 'a:', 'd', 'd')"
Neó,male,"('n', 'E', 'o:')"
Nepomuk,male,"('n', 'E', 'p', 'o', 'm', 'u', 'k')"
Nergál,male,"('n', 'E', 'R2', 'g', 'a:', 'l')"
Néró,male,"('n', 'e:', 'R2', 'o:')"
Nesztor,male,"('n', 'E', 's', 'S', 't', 'o', 'R2')"
Nétus,male,"('n', 'e:', 't', 'u', 'S')"
Nétusz,male,"('n', 'e:', 't', 'u', 's', 'S')"
Nevin,male,"('n', 'E', 'v', 'i', 'n')"
Nien,male,"('n', 'i', 'E', 'n')"
Nikander,male,"('n', 'i', 'k', 'A', 'n', 'd', 'E', 'R2')"
Nikétás,male,"('n', 'i', 'k', 'e:', 't', 'a:', 'S')"
Nikodem,male,"('n', 'i', 'k', 'o', 'd', 'E', 'm')"
Nikodémus,male,"('n', 'i', 'k', 'o', 'd', 'e:', 'm', 'u', 'S')"
Nikodémusz,male,"('n', 'i', 'k', 'o', 'd', 'e:', 'm', 'u', 's', 'S')"
Nikolasz,male,"('n', 'i', 'k', 'o', 'l', 'A', 's', 'S')"
Nikolász,male,"('n', 'i', 'k', 'o', 'l', 'a:', 's', 'S')"
Nikosz,male,"('n', 'i', 'k', 'o', 's', 'S')"
Nil,male,"('n', 'i', 'l')"
Nilsz,male,"('n', 'i', 'l', 's', 'S')"
Nimái,male,"('n', 'i', 'm', 'a:', 'i', 'i', 'n', 'i', 'm', 'a:')"
Nimer,male,"('n', 'i', 'm', 'E', 'R2')"
Nimród,male,"('n', 'i', 'm', 'R2', 'o:', 'd')"
Nitái,male,"('n', 'i', 't', 'a:', 'i', 'i', 'n', 'i', 't', 'a:')"
Noam,male,"('n', 'o', 'A', 'm')"
Nodin,male,"('n', 'o', 'd', 'i', 'n')"
Noé,male,"('n', 'o', 'e:')"
Noel,male,"('n', 'o', 'E', 'l')"
Nolan,male,"('n', 'o', 'l', 'A', 'n')"
Nolen,male,"('n', 'o', 'l', 'E', 'n')"
Nónusz,male,"('n', 'o:', 'n', 'u', 's', 'S')"
Norbert,male,"('n', 'o', 'R2', 'b', 'E', 'R2', 't')"
Norik,male,"('n', 'o', 'R2', 'i', 'k')"
Norisz,male,"('n', 'o', 'R2', 'i', 's', 'S')"
Norm,male,"('n', 'o', 'R2', 'R2_m')"
Norman,male,"('n', 'o', 'R2', 'R2_m', 'A', 'n')"
Norton,male,"('n', 'o', 'R2', 't', 'o', 'n')"
Norvard,male,"('n', 'o', 'R2', 'v', 'A', 'R2', 'd')"
Nureddin,male,"('n', 'u', 'R2', 'E', 'd', 'd:', 'i', 'n')"
Nurszultán,male,"('n', 'u', 'R2', 's', 'S', 'u', 'l', 't', 'a:', 'n')"
Nyék,male,"('n', 'n^', 'e:', 'k')"
Nyikoláj,male,"('n', 'n^', 'i', 'k', 'o', 'l', 'a:', 'j')"
Obed,male,"('o', 'b', 'E', 'd')"
Oberon,male,"('o', 'b', 'E', 'R2', 'o', 'n')"
Odiló,male,"('o', 'd', 'i', 'l', 'o:')"
Odin,male,"('o', 'd', 'i', 'n')"
Odisszeusz,male,"('o', 'd', 'i', 'ss2', '(L01', 'S', 'E', 'u', 's', 'S')"
Odó,male,"('o', 'd', 'o:')"
Ódor,male,"('o:', 'd', 'o', 'R2')"
Oguz,male,"('o', 'g', 'u', 'z')"
Oktár,male,"('o', 'k', 't', 'a:', 'R2')"
Oktáv,male,"('o', 'k', 't', 'a:', 'v')"
Oktávián,male,"('o', 'k', 't', 'a:', 'v', 'i', 'a:', 'n')"
Olaf,male,"('o', 'l', 'A', 'f')"
Olavi,male,"('o', 'l', 'A', 'v', 'i', 'i', 'o', 'l', 'A', 'v')"
Oldamur,male,"('o', 'l', 'd', 'A', 'm', 'u', 'R2')"
Oleg,male,"('o', 'l', 'E', 'g')"
Olen,male,"('o', 'l', 'E', 'n')"
Olivér,male,"('o', 'l', 'i', 'v', 'e:', 'R2')"
Omár,male,"('o', 'm', 'a:', 'R2')"
Ompoly,male,"('o', 'm', 'p', 'o', 'l', 'j')"
Omri,male,"('o', 'm', 'R2', 'i', 'i', 'o', 'm', 'R2')"
Ond,male,"('o', 'n', 'd')"
Onur,male,"('o', 'n', 'u', 'R2')"
Orbán,male,"('o', 'R2', 'b', 'a:', 'n')"
Orbó,male,"('o', 'R2', 'b', 'o:')"
Orda,male,"('o', 'R2', 'd', 'A')"
Óren,male,"('o:', 'R2', 'E', 'n')"
Oresztész,male,"('o', 'R2', 'E', 's', 'S', 't', 'e:', 's', 'S')"
Orfeusz,male,"('o', 'R2', 'f', 'E', 'u', 's', 'S')"
Orion,male,"('o', 'R2', 'i', 'o', 'n')"
Orlandó,male,"('o', 'R2', 'l', 'A', 'n', 'd', 'o:')"
Ormos,male,"('o', 'R2', 'R2_m', 'o', 'S')"
Oros,male,"('o', 'R2', 'o', 'S')"
Oszama,male,"('o', 's', 'S', 'A', 'm', 'A')"
Oszkár,male,"('o', 's', 'S', 'k', 'a:', 'R2')"
Oszlár,male,"('o', 's', 'S', 'l', 'a:', 'R2')"
Osszián,male,"('o', 'ss2', '(L01', 'S', 'i', 'a:', 'n')"
Oszvald,male,"('o', 's', 'S', 'v', 'A', 'l', 'd')"
Otelló,male,"('o', 't', 'E', 'l', 'l', 'o:')"
Otisz,male,"('o', 't', 'i', 's', 'S')"
Otmár,male,"('o', 't', 'm', 'a:', 'R2')"
Otniel,male,"('o', 't', 'n', 'i', 'E', 'l')"
Ottó,male,"('o', 't:', 't', 'o:')"
Ottokár,male,"('o', 't:', 't', 'o', 'k', 'a:', 'R2')"
Oven,male,"('o', 'v', 'E', 'n')"
Ovídiusz,male,"('o', 'v', 'i:', 'd', 'i', 'u', 's', 'S')"
Ozán,male,"('o', 'z', 'a:', 'n')"
Ozirisz,male,"('o', 'z', 'i', 'R2', 'i', 's', 'S')"
Ozmin,male,"('o', 'z', 'm', 'i', 'n')"
Ozor,male,"('o', 'z', 'o', 'R2')"
Ozul,male,"('o', 'z', 'u', 'l')"
Ozsvát,male,"('o', 'z', 'Z', 'v', 'a:', 't')"
Ödön,male,"('Y', 'd', 'Y', 'n')"
Ömer,male,"('Y', 'm', 'E', 'R2')"
Örkény,male,"('Y', 'R2', 'k', 'e:', 'n', 'n^')"
Örkönd,male,"('Y', 'R2', 'k', 'Y', 'n', 'd')"
Örs,male,"('Y', 'R2', 'S')"
Őze,male,"('Y', 'z', 'E')"
Özséb,male,"('Y', 'z', 'Z', 'e:', 'b')"
Pál,male,"('p', 'a:', 'l')"
Palkó,male,"('p', 'A', 'l', 'k', 'o:')"
Palmer,male,"('p', 'A', 'l', 'm', 'E', 'R2')"
Pálos,male,"('p', 'a:', 'l', 'o', 'S')"
Pamfil,male,"('p', 'A', 'm', 'f', 'i', 'l')"
Pantaleon,male,"('p', 'A', 'n', 't', 'A', 'l', 'E', 'o', 'n')"
Páris,male,"('p', 'a:', 'R2', 'i', 'S')"
Parker,male,"('p', 'A', 'R2', 'k', 'E', 'R2')"
Paszkál,male,"('p', 'A', 's', 'S', 'k', 'a:', 'l')"
Patony,male,"('p', 'A', 't', 'o', 'n', 'n^')"
Patrícius,male,"('p', 'A', 't', 'R2', 'i:', 'ts', 'i', 'u', 'S')"
Patrik,male,"('p', 'A', 't', 'R2', 'i', 'k')"
Pázmán,male,"('p', 'a:', 'z', 'm', 'a:', 'n')"
Pázmány,male,"('p', 'a:', 'z', 'm', 'a:', 'n', 'n^')"
Pelágiusz,male,"('p', 'E', 'l', 'a:', 'g', 'i', 'u', 's', 'S')"
